Simulation_Number,No_of_Packets_Sent,No_of_Packets_Received,Packet_Delivery_Ratio,Control_Overhead,Normalized_Routing_Overhead,Delay,Throughput,Packet_Dropping_Ratio
1.00000, 6989.00000, 6989.00000, 100.00000, 50.00000, 0.72000, 0.00000, 183.72000, 0.00000
2.00000, 7020.00000, 7020.00000, 100.00000, 51.00000, 0.73000, 0.01000, 184.55000, 0.00000
3.00000, 6998.00000, 6998.00000, 100.00000, 50.00000, 0.71000, 0.00000, 183.96000, 0.00000
4.00000, 6976.00000, 6976.00000, 100.00000, 50.00000, 0.72000, 0.00000, 183.37000, 0.00000
5.00000, 7011.00000, 6885.00000, 98.20000, 101.00000, 1.47000, 0.02000, 181.00000, 1.80000
6.00000, 6981.00000, 6970.00000, 99.84000, 149.00000, 2.14000, 0.00000, 183.23000, 0.16000
7.00000, 7027.00000, 6898.00000, 98.16000, 101.00000, 1.46000, 0.02000, 181.34000, 1.84000
8.00000, 6998.00000, 6998.00000, 100.00000, 50.00000, 0.71000, 0.00000, 183.97000, 0.00000
9.00000, 6988.00000, 6988.00000, 100.00000, 50.00000, 0.72000, 0.00000, 183.70000, 0.00000
10.00000, 6966.00000, 6837.00000, 98.15000, 152.00000, 2.22000, 0.02000, 179.73000, 1.85000
Average, 6995.40000, 6955.90000, 99.43500, 80.40000, 1.16000, 0.00700, 182.85700, 0.56500